blocks,threads,reps,bandwidth
864,1024,32768,2705.89
864,1024,65536,2700.94
864,1024,131072,2697.71
864,1024,262144,2695.79
1728,32,2,1606.19
1728,32,4,1849.55
1728,32,8,1849.55
1728,32,16,1922.37
1728,32,32,1968.88
1728,32,64,1935.7
1728,32,128,1969.87
1728,32,256,1936.66
1728,32,512,1983.62
1728,32,1024,1955.81
1728,32,2048,1999.87
1728,32,4096,1983.28
1728,32,8192,2016.41
1728,32,16384,1964.65
1728,32,32768,1977.52
1728,32,65536,1923.96
1728,32,131072,1919.32
1728,32,262144,1889.92
1728,64,2,1606.19
1728,64,4,1821.94
1728,64,8,2160.54
1728,64,16,2314.13
1728,64,32,2387.68
1728,64,64,2466.07
1728,64,128,2507.22
1728,64,256,2522.6
1728,64,512,2550.6
1728,64,1024,2576.89
1728,64,2048,2575.94
1728,64,4096,2590.14
1728,64,8192,2579.47
1728,64,16384,2588.09
1728,64,32768,2561.1
1728,64,65536,2569.46
1728,64,131072,2557.38
1728,64,262144,2553.89
1728,128,2,1488.66
1728,128,4,1849.55
1728,128,8,2179.83
1728,128,16,2429.26
1728,128,32,2549.77
1728,128,64,2650.1
1728,128,128,2705.16
1728,128,256,2730.69
1728,128,512,2756.22
1728,128,1024,2769.65
1728,128,2048,2769.53
1728,128,4096,2774.02
1728,128,8192,2768.18
1728,128,16384,2777.47
1728,128,32768,2778.51
1728,128,65536,2775.26
1728,128,131072,2759.48
1728,128,262144,2751.62
1728,256,2,1356.34
1728,256,4,1795.15
1728,256,8,2466.07
1728,256,16,2504.01
1728,256,32,2774.33
1728,256,64,2754.76
1728,256,128,2812.28
1728,256,256,2806.21
1728,256,512,2792.67
1728,256,1024,2790.43
1728,256,2048,2802.44
1728,256,4096,2801.12
1728,256,8192,2813.73
1728,256,16384,2795.69
1728,256,32768,2759.2
1728,256,65536,2747.65
1728,256,131072,2728.59
1728,256,262144,2731.26
1728,512,2,792.664
1728,512,4,1488.66
1728,512,8,2179.83
1728,512,16,2466.07
1728,512,32,2690.25
1728,512,64,2724.02
1728,512,128,2772.36
1728,512,256,2762.55
1728,512,512,2702.82
1728,512,1024,2773.09
1728,512,2048,2802.19
1728,512,4096,2794.48
1728,512,8192,2766.1
1728,512,16384,2740.82
1728,512,32768,2717.38
1728,512,65536,2710.85
1728,512,131072,2703.26
1728,512,262144,2701.59
1728,1024,2,693.581
1728,1024,4,1341.43
1728,1024,8,1984.88
1728,1024,16,2381.86
1728,1024,32,2597.24
1728,1024,64,2701.42
1728,1024,128,2792.17
1728,1024,256,2775.31
1728,1024,512,2789.18
1728,1024,1024,2818.62
1728,1024,2048,2764.02
1728,1024,4096,2760.84
1728,1024,8192,2726.73
1728,1024,16384,2734.35
1728,1024,32768,2743.42
1728,1024,65536,2752.91
1728,1024,131072,2751.87
1728,1024,262144,2750.93
3456,32,2,1606.19
3456,32,4,1968.88
3456,32,8,2160.54
3456,32,16,2347.51
3456,32,32,2423.23
3456,32,64,2500.8
3456,32,128,2521.79
3456,32,256,2557.28
3456,32,512,2576.26
3456,32,1024,2580.3
3456,32,2048,2577.43
3456,32,4096,2575.83
3456,32,8192,2574.82
3456,32,16384,2568.37
3456,32,32768,2563.45
3456,32,65536,2555.55
3456,32,131072,2547.23
3456,32,262144,2551.62
3456,64,2,1488.66
3456,64,4,1743.86
3456,64,8,2001.15
3456,64,16,2325.15
3456,64,32,2478.59
3456,64,64,2611.13
3456,64,128,2682.86
3456,64,256,2703.29
3456,64,512,2725.45
