124,720,110,110,256,110,255,109,256,110,248,110,250,110,248,110,250,110,247,110,252,110,247,110,252,110,252,110,252,110,253,110,252,110,110,251,109,248,110,251,109,248,110,254,109,252,110,253,115
128,716,110,258,109,254,110,256,109,248,110,250,109,248,110,252,109,248,110,252,109,247,110,252,109,252,110,254,109,252,110,254,109,253,110,248,109,252,110,247,109,253,110,252,109,255,110,252,115
132,720,110,256,109,254,110,257,109,248,110,251,109,248,110,251,109,248,110,251,109,249,110,251,109,252,110,254,109,251,110,253,109,252,248,110,251,110,248,110,253,110,251,110,253,110,251,110,262
136,709,110,257,109,255,110,257,109,248,110,251,109,249,110,251,109,249,253,110,247,110,252,110,251,110,255,110,252,110,254,110,251,249,110,253,109,249,110,256,109,252,110,255,109,252,110,259,115
140,706,110,258,109,255,110,256,109,247,110,252,246,110,251,110,246,110,252,110,247,110,252,252,109,254,110,253,109,254,110,252,109,248,252,110,247,110,254,110,251,110,255,110,252,259,110,256,115
144,704,110,258,109,256,110,257,109,248,251,110,247,110,251,110,248,252,110,248,109,252,110,252,109,255,252,110,254,110,253,110,248,253,110,248,109,254,110,253,109,254,253,110,257,110,255,110,262
148,704,110,258,109,255,110,256,246,110,251,110,247,110,252,248,109,253,110,248,109,252,252,110,254,110,252,255,109,252,110,248,109,252,249,110,255,110,253,110,254,252,110,258,109,256,258,110,261
152,726,110,257,109,254,110,257,246,110,251,110,247,250,110,247,109,252,248,110,250,110,253,254,109,252,110,253,251,110,247,110,251,247,110,253,109,251,110,253,252,110,257,110,255,257,110,256,115
156,725,110,257,109,255,257,109,246,110,251,247,109,251,110,247,251,110,247,110,250,251,110,253,250,110,254,110,251,247,110,252,109,249,255,110,250,110,254,251,109,257,110,255,255,110,255,250,115
160,734,110,257,109,254,257,109,247,251,110,247,109,250,247,110,250,247,110,251,109,251,254,110,250,253,110,252,109,248,253,110,247,254,110,251,109,254,252,110,255,254,110,257,109,256,251,110,253
164,768,110,258,109,254,258,109,246,250,110,248,250,110,247,110,251,249,110,251,250,110,254,252,109,254,252,110,247,110,251,247,109,255,252,110,252,252,110,256,109,256,257,110,253,252,110,247,255
