44,988,900,640,48,488,488,48,880,616,48,456,724,496,48,508,472,48,496,976,48,468,408,48,456,796,48,496,436,484,48,888,624,48,456,708,48,760,620,48,484,696,48,852,636,404,48,456,776,48,496,440,48,488,860,48,444,400,48,444,768,640,48,484,692,48,1080,624,48,460,716,48,788,632,48,480,696,872,48,448,408,48,444,772,48,500,440,48,488,1008,48,496,440,488,48,784,640,48,472,688,48,868,628,48,448,732,48,816,640,552,48,516,548,48,800,464,48,476,516,48,488,428,48,476,572,632,48,472,688
48,1012,868,644,404,280,456,908,628,48,480,700,468,48,476,416,464,48,796,628,436,48,484,760,636,48,448,708,920,48,496,436,484,48,732,624,404,48,452,876,632,48,480,668,736,48,460,400,452,48,884,620,424,48,472,732,636,48,452,704,880,48,496,436,484,48,748,636,392,48,444,1188,624,48,472,688,736,48,468,408,456,48,932,628,464,48,516,844,624,48,440,728,1084,48,488,428,476,48,788,648,436,48,484,572,640,48,488,676,1124,48,456,396,444,48,1384,624,472,48,504,480,960,48,460,624,896,48,504,444,492
52,972,912,640,448,500,48,892,624,420,468,48,488,624,440,488,48,756,616,408,444,972,48,508,472,496,1332,48,476,416,468,752,48,484,428,476,836,636,48,440,720,1228,624,48,496,676,1020,624,48,456,700,756,640,424,48,476,760,616,404,48,448,1120,620,436,48,488,1272,628,408,456,48,756,632,432,480,48,896,632,428,476,48,1256,624,436,484,1484,48,472,412,464,812,48,516,480,508,536,48,464,404,452,528,624,48,488,696,584,620,48,488,696,500,960,48,484,620,860,632,404,48,452,844,628,544,48,516,880,620,412,48
56,992,880,636,416,464,916,628,48,492,684,452,624,408,452,784,48,484,424,472,772,636,412,464,48,924,620,444,492,716,624,400,48,440,868,632,420,472,788,636,48,464,692,900,624,432,484,704,48,448,388,440,868,628,428,476,48,756,640,404,456,904,628,432,48,480,724,632,396,448,924,632,48,504,684,768,644,404,456,912,48,496,440,488,772,640,420,472,48,564,636,432,480,496,624,408,48,544,608,624,460,512,468,960,48,448,620,884,636,432,484,808,48,492,432,480,908,620,436,488,48,736,628,400,452,880,640,432,48
60,1004,912,640,476,504,896,628,428,476,496,628,448,496,48,764,628,404,456,816,640,480,504,916,628,424,476,764,628,436,48,484,852,632,404,452,832,648,484,508,888,624,416,464,772,648,48,484,708,852,640,408,528,800,644,448,496,888,628,416,468,764,48,496,436,584,900,628,432,484,800,644,440,492,888,624,416,468,48,816,640,544,512,540,636,412,460,548,624,448,496,592,628,448,48,496,508,956,492,628,868,640,416,468,852,632,560,524,896,632,48,472,732,784,640,448,496,868,632,416,464,812,632,452,504,908,48,488,428
64,896,780,636,412,464,916,628,444,492,456,628,408,452,784,628,424,472,772,640,412,464,1212,628,444,492,720,628,396,440,872,644,424,472,792,644,416,464,904,632,432,484,724,648,396,444,1360,476,428,476,756,644,404,452,904,632,432,484,1124,444,392,444,920,640,452,500,760,640,400,452,904,628,436,484,772,640,420,468,876,636,428,476,760,624,408,456,956,628,464,512,728,644,400,448,884,640,436,484,1168,640,436,484,1508,628,440,492,740,644,404,456,884,636,432,484,772,648,412,616,924,648,444,496,736,644,400,452,764,628,436
68,884,804,640,440,884,624,408,460,500,624,452,500,772,628,412,460,764,644,440,492,1288,412,464,772,620,440,492,864,640,412,460,816,632,444,492,868,628,760,772,640,436,488,860,636,412,544,784,636,428,480,872,624,736,768,632,440,492,908,616,440,492,788,632,428,476,872,624,404,820,636,556,516,868,632,420,468,1364,628,432,480,1492,620,428,480,776,444,496,876,628,424,476,844,644,480,512,880,624,408,456,792,644,728,872,640,420,472,800,628,436,488,888,640,412,464,780,636,724,556,624,424,476,528,636,440,492,704,624,408
72,1040,872,644,732,1016,636,440,488,472,632,752,804,648,440,488,768,632,404,928,628,440,488,736,632,408,456,804,436,484,1168,636,408,456,1544,624,728,740,640,408,456,884,620,744,748,636,396,444,896,616,424,736,628,408,460,936,628,484,516,752,392,444,900,628,428,480,792,640,732,576,644,444,496,928,624,732,604,632,456,508,488,636,416,1364,628,448,500,808,648,428,476,912,436,484,756,644,420,468,900,628,764,760,636,412,452,916,636,728,748,640,416,468,580,620,448,492,644,404,456,584,624,436,484,488,416,468,568,624,436
76,884,852,636,740,880,632,412,496,620,448,496,1032,624,728,796,964,488,624,892,412,456,1516,624,724,772,632,408,456,808,436,488,856,616,404,760,644,432,484,852,632,732,780,964,476,864,632,396,444,768,628,744,1916,488,436,488,788,424,476,876,636,752,820,648,480,516,868,644,740,788,632,428,920,616,424,476,772,648,728,872,644,416,468,836,1260,760,872,640,1064,784,636,448,496,864,416,468,788,612,432,884,636,408,456,776,636,716,552,628,420,660,636,436,488,552,624,1060,516,628,448,496,540,408,460,524,640,732,552,632,412
80,908,764,412,452,904,628,748,468,612,744,792,632,432,760,636,400,448,916,432,480,708,628,740,876,628,720,776,640,404,888,632,424,472,732,412,452,880,628,748,744,632,552,896,628,424,736,628,412,456,932,464,516,752,648,736,904,620,752,788,648,436,892,644,440,492,752,396,444,944,636,760,740,636,724,892,644,444,800,644,424,472,900,428,480,752,640,724,888,612,736,1420,624,408,908,636,436,484,744,412,460,1272,624,728,488,628,724,580,628,432,484,632,416,464,568,432,484,488,640,732,580,620,756,476,632,412,564,648,432
84,864,808,448,496,792,416,464,488,612,752,756,628,744,1208,624,728,908,624,1044,756,632,748,844,968,444,824,644,732,872,632,748,1368,632,736,848,632,764,792,636,440,884,628,412,760,628,428,896,628,428,796,644,436,880,628,412,460,1072,472,504,848,412,452,796,440,492,1152,436,488,760,432,480,856,948,456,840,636,728,884,628,748,776,636,728,852,628,748,800,628,736,896,644,732,768,644,732,540,620,748,536,644,736,568,636,420,512,628,440,532,632,400,1120,628,448,568,632,420,496,628,428,476,528,1260,764,536,448,500,552,412
88,896,740,416,460,912,444,452,628,404,784,628,424,772,964,460,932,616,744,716,636,748,872,644,728,792,640,732,900,632,764,728,396,444,876,428,480,760,416,1136,632,436,728,632,396,920,636,748,760,960,452,904,632,752,1400,636,732,872,640,728,760,632,744,956,460,508,724,408,448,884,432,812,636,432,908,624,436,736,644,728,880,616,740,768,628,744,1336,624,728,736,640,732,568,632,748,500,416,468,592,444,496,476,416,560,632,424,500,648,412,592,636,756,464,632,676,556,640,732,500,644,732,580,640,608,460,644,728,556,424
92,876,1224,480,900,628,428,496,628,736,764,628,760,812,452,504,916,428,764,632,748,852,644,728,832,636,736,884,416,768,648,436,856,620,752,800,632,748,1496,628,728,768,440,924,628,732,804,640,732,888,624,748,816,1176,848,856,412,800,620,740,1276,620,728,768,636,716,864,416,852,640,560,892,628,736,784,640,728,860,412,464,812,452,904,648,728,780,644,732,548,632,1088,544,460,576,632,428,516,624,748,536,640,752,540,648,728,572,428,504,628,764,536,640,736,544,640,732,560,416,464,640,432,540,624,744,532,628,744,564,624
