44,172,48,172,176,48,176,176,48,176,148,48,148,148,48,148,148,148,48,148,148,48,152,152,48,152,152,48,152,152,48,152,152,156,48,156,156,48,156,156,48,156,156,48,156,156,48,156,156,156,48,152,152,48,152,152,48,180,180,48,180,180,48,176,176,176,48,176,180,48,180,180,48,180,176,48,176,176,48,176,172,172,48,172,172,48,172,172,48,172,172,48,172,172,48,172,172,176,48,176,176,48,176,148,48,148,148,48,148,148,48,148,148,148,48,152,152,48,424,368,48,376,376,48,376,376,48,424,368
48,256,48,156,156,156,48,156,156,176,48,176,176,176,48,176,176,176,48,176,176,176,48,176,176,180,48,180,180,180,48,184,184,184,48,184,180,180,48,180,180,184,48,184,184,184,48,180,180,180,48,180,160,160,48,160,160,160,48,160,160,160,48,160,160,160,48,160,156,156,48,156,156,152,48,152,152,152,48,152,152,152,48,152,156,156,48,156,156,156,48,156,156,156,48,176,176,176,48,176,176,176,48,176,176,176,48,176,176,176,48,180,180,180,48,180,184,184,48,448,396,456,48,400,404,404,48,448,392
52,284,48,176,180,184,180,48,180,152,152,152,48,152,152,152,152,152,48,156,156,156,156,48,156,156,156,156,48,160,160,160,160,160,48,160,160,160,160,48,160,160,160,156,48,156,156,156,184,184,48,184,184,180,180,48,180,180,184,184,48,184,184,180,180,180,48,180,176,176,176,48,176,176,176,176,48,176,176,176,176,176,48,180,180,180,180,48,152,152,152,152,48,152,152,152,152,156,48,156,156,156,156,48,156,156,156,160,48,160,160,160,160,160,48,160,160,160,160,48,424,368,376,380,48,376,380,584,532
56,156,48,156,156,156,156,156,176,176,48,176,176,172,172,172,172,176,48,176,176,176,180,180,180,180,48,184,184,184,184,180,180,180,48,180,184,184,184,184,180,180,48,180,180,160,160,160,160,160,48,160,160,160,160,160,160,160,48,156,156,156,156,152,152,152,48,152,152,152,152,152,156,156,48,156,156,156,156,156,156,176,48,176,176,176,176,176,176,176,48,176,176,176,176,180,180,180,48,180,184,184,184,184,180,180,48,180,180,184,184,184,184,180,48,180,180,180,160,160,564,508,48,560,512,512,508,544,488
60,176,48,176,180,180,180,180,152,152,152,152,152,152,152,152,156,156,48,156,156,156,156,156,156,160,160,160,160,160,160,160,160,160,48,160,160,160,156,156,156,156,184,184,184,184,180,180,180,180,48,184,184,184,184,180,180,180,180,176,176,176,176,176,176,176,48,176,176,176,176,176,180,180,180,180,152,152,152,152,152,152,48,152,152,156,156,156,156,156,156,156,156,160,160,160,160,160,48,160,160,160,160,160,160,160,156,156,156,156,184,184,184,184,48,180,180,180,180,184,184,568,512,524,524,524,524,604,548
64,268,160,160,160,160,160,180,180,180,180,180,180,180,180,180,180,180,180,184,184,184,184,188,188,188,188,184,184,184,184,188,188,188,188,184,184,184,184,164,164,164,164,164,164,164,164,164,164,164,164,160,160,160,160,156,156,156,156,156,156,156,156,160,160,160,160,160,160,160,160,180,180,180,180,180,180,180,180,180,180,180,180,184,184,184,184,188,188,188,188,184,184,184,184,188,188,188,188,184,184,184,184,164,164,164,164,164,164,164,164,164,164,164,164,160,160,160,160,156,156,588,528,580,524,524,524,560,508
68,184,184,184,184,184,184,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,164,164,164,164,160,160,160,160,164,164,164,160,160,160,160,188,188,188,188,188,188,188,188,188,188,188,188,184,184,184,180,180,180,180,180,180,180,180,184,184,184,184,184,184,184,156,156,156,156,156,156,156,156,156,156,156,156,160,160,160,164,164,164,164,160,160,160,160,164,164,164,164,160,160,160,188,188,188,188,188,188,188,188,188,188,188,188,184,184,184,184,180,180,180,180,180,180,180,184,184,584,532,536,536,540,536,568
72,160,160,160,160,160,160,180,180,180,180,180,180,180,176,176,176,184,184,184,184,188,188,188,188,184,184,184,188,188,188,188,184,184,184,164,164,164,164,164,164,164,164,164,164,164,160,160,160,156,156,156,156,156,156,156,156,160,160,160,160,160,160,160,180,180,180,180,180,180,180,180,180,180,184,184,184,184,188,188,188,184,184,184,184,188,188,188,188,184,184,184,164,164,164,164,164,164,164,164,164,164,164,160,160,160,156,156,156,156,156,156,156,160,160,160,160,160,160,160,160,684,612,608,680,600,608,600,664
76,180,180,184,184,184,184,156,156,156,156,156,156,160,160,160,160,160,160,160,164,164,164,164,164,164,164,164,164,164,160,160,160,188,188,188,188,184,184,184,188,188,188,188,184,184,184,180,180,180,180,180,180,180,180,180,180,184,184,184,156,156,156,156,156,156,156,160,160,160,160,160,160,160,164,164,164,164,164,164,164,164,164,164,160,160,160,188,188,188,188,184,184,184,188,188,188,184,184,184,184,180,180,180,180,180,180,180,180,180,180,184,184,184,156,156,156,156,156,156,156,160,644,568,580,584,580,584,648
80,164,164,164,164,164,184,184,184,184,184,184,184,184,184,184,188,188,188,192,192,192,188,188,188,192,192,192,192,188,188,188,168,168,168,168,168,168,168,168,168,164,164,164,164,160,160,160,160,160,160,164,164,164,164,164,164,184,184,184,184,184,184,184,184,184,184,188,188,188,192,192,192,188,188,188,188,192,192,192,188,188,188,168,168,168,168,168,168,168,168,168,168,164,164,164,160,160,160,160,160,160,164,164,164,164,164,164,164,184,184,184,184,184,184,184,184,664,188,188,188,192,608,604,608,684,612,612,672
