blocks,threads,reps,bandwidth
1056,256,2048,9532.65
1056,256,4096,9352.42
1056,256,8192,9105.69
1056,256,16384,9000.4
1056,256,32768,8866.17
1056,256,65536,8804.61
1056,256,131072,8818.07
1056,256,262144,8760.65
1056,512,2,2545.34
1056,512,4,4117.62
1056,512,8,5182.99
1056,512,16,6146.73
1056,512,32,6834.09
1056,512,64,7186.66
1056,512,128,7709.39
1056,512,256,8320.57
1056,512,512,8843.19
1056,512,1024,9602.27
1056,512,2048,9367.59
1056,512,4096,9108.67
1056,512,8192,8870.54
1056,512,16384,8720.63
1056,512,32768,8713.71
1056,512,65536,8707.1
1056,512,131072,8696.54
1056,512,262144,8699.93
1056,1024,2,2787.52
1056,1024,4,4570.5
1056,1024,8,5546.02
1056,1024,16,6505
1056,1024,32,7174.01
1056,1024,64,7719.23
1056,1024,128,8219.36
1056,1024,256,8622.28
1056,1024,512,9444.42
1056,1024,1024,8884.62
1056,1024,2048,8877.08
1056,1024,4096,8870.28
1056,1024,8192,8911.92
1056,1024,16384,8891.47
1056,1024,32768,8838.89
1056,1024,65536,8836.15
1056,1024,131072,8835.16
1056,1024,262144,8844.02
2112,32,2,1911.08
2112,32,4,2423.23
2112,32,8,2626.93
2112,32,16,2587.49
2112,32,32,2566.52
2112,32,64,2515.63
2112,32,128,2459.56
2112,32,256,2444.41
2112,32,512,2455.4
2112,32,1024,2482.6
2112,32,2048,2466.67
2112,32,4096,2442.88
2112,32,8192,2420.59
2112,32,16384,2378.93
2112,32,32768,2350.28
2112,32,65536,2333.98
2112,32,131072,2313.84
2112,32,262144,2306.28
2112,64,2,2086.67
2112,64,4,3295.49
2112,64,8,4209.32
2112,64,16,4755.02
2112,64,32,4811.64
2112,64,64,4885.1
2112,64,128,4796.26
2112,64,256,4719.59
2112,64,512,4851.39
2112,64,1024,4920.26
2112,64,2048,4909.08
2112,64,4096,4826.1
2112,64,8192,4742.78
2112,64,16384,4701.86
2112,64,32768,4634.48
2112,64,65536,4547.65
2112,64,131072,4538.55
2112,64,262144,4533.05
2112,128,2,2459.86
2112,128,4,3748.8
2112,128,8,5276.34
2112,128,16,6428.28
2112,128,32,7451.12
2112,128,64,8370.54
2112,128,128,8646.53
2112,128,256,8955.87
2112,128,512,9097.75
2112,128,1024,9461.45
2112,128,2048,9535.74
2112,128,4096,9440.21
2112,128,8192,9181.37
2112,128,16384,8972.98
2112,128,32768,8795.55
2112,128,65536,8723.28
2112,128,131072,8657.95
2112,128,262144,8682.57
2112,256,2,2189.6
2112,256,4,3985.97
2112,256,8,4993.08
2112,256,16,5882.91
2112,256,32,6374.08
2112,256,64,7107.12
2112,256,128,7692.31
2112,256,256,8155.9
2112,256,512,8600.03
2112,256,1024,8959.02
2112,256,2048,9274
2112,256,4096,9169.08
2112,256,8192,8945.51
2112,256,16384,8726.84
2112,256,32768,8536.08
2112,256,65536,8545.38
2112,256,131072,8520.04
2112,256,262144,8522.92
2112,512,2,1864.86
2112,512,4,3489.8
2112,512,8,5229.25
2112,512,16,6312.28
2112,512,32,7078.68
2112,512,64,7589.25
2112,512,128,8118.29
2112,512,256,8580.45
2112,512,512,8976.77
2112,512,1024,9742.41
2112,512,2048,8538.64
2112,512,4096,8480.57
2112,512,8192,8473.71
2112,512,16384,8469.87
2112,512,32768,8465.31
2112,512,65536,8389.43
2112,512,131072,8399.24
2112,512,262144,8388.45
2112,1024,2,1891.34
2112,1024,4,3271.57
2112,1024,8,5046.83
2112,1024,16,6140.29
2112,1024,32,6654.6
2112,1024,64,7079.21
2112,1024,128,7374.63
2112,1024,256,7692.62
2112,1024,512,8053.52
2112,1024,1024,7978.3
2112,1024,2048,7810.83
2112,1024,4096,7792.28
2112,1024,8192,7799.24
2112,1024,16384,7816.58
2112,1024,32768,7801.14
2112,1024,65536,7766.32
2112,1024,131072,7757.37
2112,1024,262144,7780.32
4224,32,2,2334.41
4224,32,4,3247.99
4224,32,8,4244.39
